33	94	37	84	51
71	29	19	68	89
100	51	8	12	76
66	36	22	21	46
38	48	30	76	56
59	65	30	49	9
26	1	61	22	65
53	73	59	49	14
2	19	62	82	59
60	40	1	41	100
49	38	21	83	11
35	62	12	84	100
50	60	97	27	81
66	51	19	93	60
32	29	44	81	43
70	7	86	6	40
36	61	59	99	72
99	89	21	20	30
5	59	99	100	21
46	12	35	84	68
61	83	60	11	63
15	23	78	53	53
98	82	56	43	9
69	84	77	63	74
82	17	46	86	45
83	78	47	76	8
87	97	56	11	60
55	2	76	98	61
40	79	45	90	55
31	78	80	50	66
79	50	80	59	95
33	44	12	28	72
17	24	15	89	23
60	29	31	84	96
60	51	98	23	28
86	87	71	24	49
81	95	22	44	53
40	42	66	8	24
60	68	62	54	90
46	24	56	56	33
37	18	78	53	44
13	57	58	93	1
20	13	88	31	66
30	22	84	12	24
63	6	87	10	6
22	51	56	84	80
62	3	81	4	93
30	37	75	75	80
11	91	40	31	18
85	11	6	14	78
25	84	13	27	100
10	31	23	73	73
91	86	67	37	45
74	87	69	20	13
43	52	84	33	6
65	64	47	24	53
83	6	26	73	79
54	85	63	56	93
8	57	69	30	66
38	91	74	26	16
66	46	79	31	62
48	9	35	36	32
25	33	60	91	99
31	76	33	94	89
36	46	59	52	69
57	83	87	17	84
30	18	72	58	99
98	20	48	60	25
69	74	10	41	90
91	95	96	48	57
48	40	14	12	97
99	38	19	95	86
79	30	79	71	27
31	41	69	93	92
4	73	76	35	61
9	50	81	4	20
66	39	56	32	23
32	55	86	63	60
60	80	75	29	7
17	66	11	98	36
68	23	32	52	1
92	30	11	61	81
92	93	13	37	33
87	61	60	23	51
4	79	94	31	77
57	40	88	9	9
28	68	12	11	88
1	53	52	59	20
90	32	97	90	44
12	75	99	88	81
61	13	51	45	10
89	30	34	15	79
68	76	97	21	52
78	61	38	78	26
22	85	19	9	94
47	47	75	97	54
30	69	13	75	63
30	36	16	94	75
67	77	67	43	27
46	37	52	74	54
12	15	17	56	29
6	21	6	7	58
95	97	90	34	86
42	61	66	87	64
21	41	83	21	95
71	47	79	51	83
31	60	26	57	92
86	100	16	83	53
20	25	53	65	42
11	86	91	73	77
4	93	56	44	59
65	45	34	92	71
66	91	33	41	51
95	48	68	45	62
92	15	60	61	44
8	70	11	90	42
81	26	22	41	17
16	96	35	80	28
80	77	45	69	64
81	39	36	52	57
16	78	92	7	91
75	88	58	81	45
85	89	32	18	20
93	4	14	36	23
6	28	71	41	93
12	43	94	58	47
74	98	89	86	79
46	11	26	84	41
78	98	3	65	35
67	25	2	76	76
24	98	61	27	50
62	65	56	23	19
51	85	28	78	22
11	1	58	55	100
23	47	80	60	45
77	66	18	74	32
81	70	56	10	14
86	28	89	36	29
51	23	14	46	4
29	64	99	46	72
28	93	11	78	25
4	67	40	55	78
90	4	45	60	24
1	2	20	41	61
89	67	80	69	98
61	65	4	80	72
59	59	10	45	45
5	2	5	72	69
59	70	98	72	57
48	95	69	86	84
52	10	86	28	25
73	83	59	10	3
20	89	58	46	64
47	85	11	79	32
26	24	46	22	42
66	76	97	28	63
77	96	54	57	96
56	95	91	98	40
23	38	93	57	72
33	59	10	6	37
15	90	60	43	38
26	46	6	43	7
56	37	58	34	81
100	24	29	98	54
84	94	10	87	64
35	94	18	51	8
48	41	86	83	35
26	56	99	23	86
23	10	13	49	68
14	24	46	72	53
99	48	2	77	72
36	94	68	86	89
90	91	16	24	12
5	15	24	43	9
87	44	6	44	2
48	71	96	89	34
21	97	85	63	27
71	17	29	95	24
5	98	72	34	27
65	41	56	26	32
80	55	81	33	83
56	3	56	14	25
92	43	88	73	55
21	73	44	100	86
7	98	85	39	16
22	92	31	62	39
38	37	100	15	78
70	17	90	33	39
61	61	88	100	22
18	85	54	17	8
34	43	82	59	52
58	94	60	41	3
21	91	90	26	3
35	65	29	56	2
85	70	5	83	37
3	11	79	42	40
15	5	75	2	96
65	11	100	26	5
62	96	66	57	27
4	73	60	58	35
40	45	79	93	89
34	97	21	55	25
96	52	68	51	87
1	60	18	22	6
20	43	86	76	68
89	100	65	74	89
82	19	33	24	97
5	61	5	98	93
57	75	87	92	98
7	28	5	80	85
69	21	10	57	3
10	30	46	77	87
5	86	86	66	76
97	78	5	37	39
37	14	50	67	83
8	76	33	75	14
50	93	3	86	13
55	93	93	17	62
27	48	62	92	32
43	82	11	38	48
89	2	26	39	54
29	20	69	2	77
55	13	71	90	99
84	41	88	49	91
72	74	45	36	31
99	85	67	95	40
1	7	16	28	18
35	48	91	1	53
34	56	67	77	1
99	73	80	48	86
65	11	93	99	92
59	31	82	92	85
69	5	60	32	33
90	12	78	3	8
74	42	46	25	45
77	50	32	86	4
60	3	16	74	49
25	87	21	55	41
13	29	75	96	60
53	43	13	91	73
21	35	21	25	77
90	57	84	67	70
2	86	23	65	16
54	67	64	8	91
69	72	52	43	56
96	65	95	78	23
30	21	76	55	4
84	47	36	89	73
40	63	42	45	8
30	35	28	15	58
74	57	44	78	61
23	59	78	16	13
91	78	45	39	39
29	24	79	92	26
99	100	86	79	97
55	39	35	7	70
94	58	68	34	81
95	80	69	17	44
13	70	22	77	52
43	67	41	63	76
33	7	51	44	64
11	65	90	31	50
87	25	92	94	76
99	2	63	41	6
49	94	92	23	48
100	31	84	23	98
1	88	12	16	18
89	18	56	75	96
19	93	23	77	32
7	50	21	61	82
17	57	42	15	95
74	85	57	74	61
66	10	77	45	9
48	6	6	5	2
41	34	31	56	40
41	12	46	34	14
23	73	74	25	50
80	89	2	90	2
48	83	6	90	100
3	39	22	88	7
84	86	11	44	71
3	5	50	31	92
74	84	14	13	98
13	85	16	69	16
70	10	93	72	42
23	74	30	28	73
31	65	61	67	32
63	96	88	91	77
79	39	40	63	60
55	84	97	86	16
15	65	36	58	27
81	50	94	42	11
47	99	96	27	99
51	65	100	88	67
81	48	82	32	55
32	44	34	100	95
28	81	42	97	32
82	42	88	19	16
49	64	25	88	73
32	36	38	91	62
13	13	59	9	74
80	2	27	84	40
53	48	30	91	64
78	96	72	35	79
73	41	56	2	14
39	36	6	65	18
43	92	97	99	4
83	32	77	56	80
62	47	33	61	16
69	13	63	60	95
60	21	94	79	34
44	87	3	9	11
41	47	100	1	53
81	68	1	35	90
60	15	92	94	36
54	63	76	4	63
9	27	66	85	95
48	23	46	77	99
80	62	22	80	71
74	2	92	13	49
89	9	73	74	10
31	42	44	81	55
86	21	1	1	5
80	66	31	94	66
25	83	95	28	86
32	48	43	79	68
46	79	32	22	79
82	10	71	34	10
96	58	69	62	30
81	47	81	7	48
26	8	88	7	44
91	24	47	94	73
18	90	73	52	70
52	77	16	25	34
70	28	28	52	8
25	57	78	3	99
77	82	54	63	8
86	29	11	38	93
31	89	80	61	66
90	42	73	59	95
83	64	22	85	8
1	16	63	95	71
96	26	65	57	42
88	89	79	93	60
4	23	95	71	16
50	54	98	93	97
21	23	8	60	37
29	42	3	28	21
22	33	49	63	75
20	55	4	67	18
52	28	64	75	17
91	17	92	77	16
16	79	11	83	6
89	74	65	26	93
51	10	30	81	59
49	78	48	37	89
4	63	10	72	56
1	30	91	22	98
96	37	76	89	6
19	59	52	94	78
68	84	21	19	31
